producto,precio,precio_x_unidad
Ñame, 103,No disponible
ENELDO BOLSA 50 Gr, 82,No disponible
Jugo TAEQ 1000 Ml, 95,No disponible
ZANAHORIA BABY ORGANIC GRIMMWAY FARMS 454 Gr, 6035,No disponible
TOMATES MIX TEMPORADA COLORES 500 Gr, 312,No disponible
BOLSA TIPO COSTAL MARCA CARULL SHOPPING, 1300,No disponible
ZANAHORIA BABY ORGAN TAEQ 250 Gr, 42,No disponible
Tomate Tipo Uvalina TAEQ 500 Gr, 198,No disponible
Kale (Col Rizada) 100 Gr, 99,No disponible
Mezclum Germinados Pomario 100 Gr, 102,No disponible
PEREJIL CRESPO TAEQ 50 Gr, 120,No disponible
MANZANA PINK LADY BJA 1 Und, 14100,No disponible
RAMBUTAN 250 Gr, 40,No disponible
AJO SELECCIONADO 180 Gr, 3167,No disponible
ZANAHORIA MINI DE COLORES 1 Und, 13300,No disponible
Limonaria Fresca Capuchon 60 Gr, 7667,No disponible
CEBOLLETA BOLSA 50 Gr, 98,No disponible
ZANAHORIA EN JULIANAS TAEQ 250 Gr, 14,No disponible
Jugo De Uva CARULLA 2 Ml, 124,No disponible
Lechuga Morada Kosher TAEQ 120 Gr, 5083,No disponible
ARVEJA DESGRANADA 250 Gr, 684,No disponible
JUGO FRESCAMPO 3000 Ml, 56,No disponible
Frijol Verde 500 Gr, 14,No disponible
Oregano Fresco Capuchon 50 Gr, 28,No disponible
Mix Frutos Rojos 1 Und, 14300,No disponible
AHUYAMA TROZOS CARULLA 500 Gr, 146,No disponible
Bebida Verde 1000 Ml, 119,No disponible
CHAMPINON TAJADO 500 Gr, 32,No disponible
Jugo CARULLA 500 Ml, 156,No disponible
Platano Comino 1 Und, 2300,No disponible
Lulo Congelado 500 Gr, 186,No disponible
Laurel Fresco Capuchon 40 Gr, 115,No disponible
BERENJENA SELECTA 500 Gr, 102,No disponible
ZANAHORIA MINI 250 Gr, 40,No disponible
Apio Tallos TAEQ 250 Gr, 196,No disponible
PEREJIL LISO CARULLA 80 Gr, 55,No disponible
TOMATE CHONTO ORGANICO TAEQ 1 Und, 11700,No disponible
Pulpa Guanabana Motas 454 Gr, 2797,No disponible
ALBAHACA GENOVESA 50 Gr, 44,No disponible
ROMERO CARULLA 80 Gr, 65,No disponible
VITORIA (CALABAZA), 34,No disponible
ANIS PURO 15 Gr, 45333,No disponible
PIMENTON VERDE 1000 Gr, 87,No disponible
Palmitos 250 Gr, 94,No disponible
Cebollin Picado Org Pet 40 Gr, 325,No disponible
GUASCAS DESHIDRATADAS 15 Gr, 380,No disponible
Albahaca Morada 50 Gr, 92,No disponible
FRIJOL DESGRANADO 250 Gr, 236,No disponible
Super Greens 100 Gr, 116,No disponible
HABICHUELINA AMARILLA 250 Gr, 308,No disponible
MANZANILA BOLSA 50 Gr, 74,No disponible
Frambuesa Granel, 185,No disponible
Brevas 1 Und, 400,No disponible
Ensalada Del Chef Kosher 180 Gr, 7389,No disponible
Rugula Selvatica Pomario 100 Gr, 90,No disponible
