producto,precio,precio_unidad
COGOLLOS HIDROPONICOS CAMSAL*120GR,$ 7.290,No disponible
FRIJOL VERDE VAINA,$ 7.900,No disponible
TOMATE CHERRY BAND *250 GR,$ 6.400,No disponible
REPOLLO MORADO,$ 7.390,No disponible
MIX DE LECHUGAS TIERNAS VEGGIES GOURMET,$ 3.990,No disponible
RAMBUTAN,$ 19.900,No disponible
CEBOLLA PICADA BANDEJA,$ 5.200,No disponible
FRESA CONGELADA UND,$ 7.200,No disponible
DURAZNOS DISPRONAT EN MITADES*820GR,$ 11.000,No disponible
GUANABANA,$ 7.900,No disponible
PEREJIL LISO,$ 16.900,No disponible
PAPA MCCAIN AIRFRYER X 700 GR,$ 15.190,No disponible
ESPINACA BOGOTANA ORGANICA *130GR BAND,$ 7.990,No disponible
Semillas organicas ONC lechuga verde 3g,$ 12.400,No disponible
AHUYAMA AL VACIO * 500 GR,$ 3.990,No disponible
CIDRA,$ 4.600,No disponible
ACELGA,$ 6.200,No disponible
MANDARINA CLEMENTINA,$ 13.900,No disponible
AJO CRIOLLO,$ 35.900,No disponible
PALITOS YUCA MCAIN 500gr,$ 11.270,No disponible
MANZANA COMBINADA BSA,$ 12.900,No disponible
COROZOS 500G,$ 6.900,No disponible
RABANO ROJO,$ 9.900,No disponible
MEZCLUM x 100GR,$ 8.990,No disponible
ZANAHORIA MINI,$ 4.990,No disponible
GUAYABA PERA,$ 3.900,No disponible
TOMATE CHERRY A GRANEL,$ 15.900,No disponible
UCHUVAS COFRE *500GR,$ 5.500,No disponible
MELON Honey Dew,$ 4.900,No disponible
COGOLLITO EUROPEO 250 GR VEGGIES GOURMET,$ 7.900,No disponible
LECHUGA CRESPA ECONOMICA * 200GR,$ 2.990,No disponible
ZANAHORIA BABY CLASIC,$ 11.900,No disponible
DATILES ORGAN DEGLET NOOR MARIANI*1130GR,$ 45.050,No disponible
Semillas organicas ONC espinaca 40 grm,$ 12.400,No disponible
LYCHEE EN CONSERVA EUROMAX x 567 GR,$ 14.690,No disponible
LECHUGA VERDE CRESPA CAMSAL*220GR,$ 2.590,No disponible
SEMILLAS ORGANICAS ONC BROCOLI 40G,$ 18.900,No disponible
MANZANA ROJA EN BANDEJA,$ 13.900,No disponible
MEZCLUM x 250GR,$ 19.900,No disponible
PAPA A LA FRANCESA RICONGELISTO X 500 GR,$ 5.950,No disponible
PAPA CAPIRA SUCIA,$ 4.900,No disponible
PEPINO MEDITERRANEO x 300GR,$ 2.900,No disponible
PAPA MCCAIN CRISPERS X 500 GR,$ 9.230,No disponible
MANGOSTINO,$ 25.900,No disponible
MAIZ EN GRANO MCCAIN *500G,$ 14.570,No disponible
HIGOS,$ 9.900,No disponible
SANDIA VANESSA,$ 2.900,No disponible
ESPINACA COMPOSTABLE CAMSAL*120GR,$ 6.490,No disponible
MAZORCA DESGRANADA,$ 7.800,No disponible
VEGETAL MIXTOS MCCAIN *500G,$ 14.570,No disponible
RABANO ROJO ORGANICO x 150 GR,$ 4.890,No disponible
PEPINO DE AGUA,$ 5.900,No disponible
SEMILLAS ORGAN ALBAHACA ORNAMENTALES*40G,$ 22.900,No disponible
RABANO BANDEJA CAMSAL*250GR,$ 3.990,No disponible
DURAZNO NECTARIN,$ 22.900,No disponible
MANZANA BANDEJA COMBINADA,$ 12.900,No disponible
BREVAS EN ALMIBAR EUROMAX x 560GR,$ 12.890,No disponible
CIRUELA CLAUDIA NACIONAL,$ 8.900,No disponible
CEREZA MARASCHINO x 125GR LA CORUÑA,$ 5.580,No disponible
MEZCLA DE VEGETALES LA HUERTA x 330GR,$ 8.990,No disponible
HONGOS PORTOBELLO 350gr,$ 15.900,No disponible
AJI DULCE,$ 13.980,No disponible
ÑAME,$ 8.400,No disponible
LYCHEE EN CONSERVA EURO FINEST x 567 GR,$ 15.790,No disponible
PIÑA EN TROZOS EUROMAX x 250GR,$ 7.100,No disponible
PEPINO DE RELLENAR,$ 7.900,No disponible
DULCE BREVAS x 600GR LA CONSTANCIA,$ 13.610,No disponible
TOMATE PERLA x 200GR,$ 7.400,No disponible
MANGO EN TROZOS EUROMAX x 500GR,$ 4.900,No disponible
RAPI PAPA TRADICIONAL MCAIN x 500GR,$ 10.470,No disponible
YUCA AL VACIO x 500 GR,$ 5.600,No disponible
ESPINACA TIERNA BAND 150 G,$ 5.600,No disponible
ZAPOTE,$ 6.900,No disponible
PAPAS DELGADAS ZENU x 500GR,$ 9.180,No disponible
FRESA EN TROZOS EUROMAX x 500GR,$ 7.900,No disponible
AGRAZ UNIDAD x 200 GR,$ 14.900,No disponible
MANZANA ROJA EMPACADA,$ 13.900,No disponible
PAPAFACIL FRANCESA CASQUITOS MCCAIN*500G,$ 8.340,No disponible
RAIZ CHINA BANDEJA x 250GR,$ 2.100,No disponible
DURAZNOS ABURRA X 425GR,$ 7.250,No disponible
BREVAS EN SU JUGO x 600GR COLINA,$ 11.590,No disponible
GUAYABA EN TROZOS EUROMAX x 500GR,$ 2.600,No disponible
ACELGA BANDEJA CAMSAL*200GR,$ 7.290,No disponible
CEREZAS EN SU JUGO EUROMAX x 125GR,$ 6.200,No disponible
PINA EN TROZOS EUROMAX x 520GR,$ 11.390,No disponible
MEZCLA PROTEIN MIX,$ 13.600,No disponible
PORCION MARACUYA CONGELAD FRUTINAL *500G,$ 10.900,No disponible
PORCION MANGO CONGELADA FRUTINAL x 500G,$ 7.200,No disponible
PITHAYA ROJA,$ 16.900,No disponible
AREQUIPE + BREVAS KONFYT *530GR,$ 26.610,No disponible
CURUBA REDONDA,$ 3.900,No disponible
CROQUETA DE YUCA 1000gr MCAIN,$ 18.070,No disponible
GERMINADOS DE ALFALFA x 100GR,$ 4.900,No disponible
BREVAS ALMIBAR x 260GR CORUÑA,$ 7.320,No disponible
HIGOS ORGANICO SEC HAPPY VILLAGE*1.130GR,$ 62.260,No disponible
CEREZAS MARASCHINO x 250GR LA CORUÑA,$ 10.290,No disponible
CIRUELA CLAUDIA,$ 21.900,No disponible
LECHUGA PET VERDE LISA x 130 GR,$ 4.840,No disponible
BROTES rabano x 30GR,$ 11.900,No disponible
KALE BAND 150 GR,$ 7.990,No disponible
PERA BANDEJA,$ 12.900,No disponible
LULO AL VACIO FRUTINAL x 500GR,$ 7.200,No disponible
RUGULA GOURMET,$ 5.980,No disponible
RUGULA BABY POMARIO,$ 9.790,No disponible
ESPINAC BABY BOLSA 200 G,$ 6.490,No disponible
CEREZAS EN SU JUGO x 275GR LA COLINA,$ 13.000,No disponible
NARANJA TANGELO IMPORTADA,$ 9.900,No disponible
SEMILLAS ORGANICAS ONC KALE 40G,$ 18.900,No disponible
MARACUYA EN TROZOS EUROMAX x 500GR,$ 8.900,No disponible
TROZOS DE PIÑA LA COLINA *250GR,$ 7.150,No disponible
PAPAS EN CASCOS ZENU x 1000GR,$ 17.290,No disponible
TOMATE UVA A GRANEL,$ 14.900,No disponible
PIÑA EN RODAJAS x 580GR LA CORUÑA,$ 12.010,No disponible
KALE COMPOSTABLE CAMSAL*120GR,$ 6.990,No disponible
PORCION GUANABANA CONGEL FRUTINAL *500G,$ 7.900,No disponible
ARVEJAS MCCAIN *500G,$ 13.720,No disponible
LECHUGA MORADA CRESPA ORGANICA 120G PET,$ 5.890,No disponible
UVA RED GLOBE NACIONAL,$ 13.900,No disponible
PAPAS EN CASCOS ZENU x 500GR,$ 9.450,No disponible
BOCKCHOI x 4 UND,$ 8.800,No disponible
CRISTAL DE SABILA x 400GR,$ 6.200,No disponible
LECHUGA VERDE CRESPA ORGANICA *120GR PET,$ 5.990,No disponible
PEREJIL LISO ORNANICA x 50G BANDEJA,$ 3.780,No disponible
LULO EN TROZOS EUROMAX x 500GR,$ 5.400,No disponible
GUACAMOLE ALIÃ‘OS EN CASA x 200GR,$ 7.900,No disponible
ESPINACA TIERNA ORGANICA *130 GR BANDEJA,$ 9.200,No disponible
MIXTO TOMATES CHERRY LA TRAVIESA *500GR,$ 10.900,No disponible
BERENJENA MINI BANDEJA CAMSAL*500GR,$ 8.990,No disponible
TOMATES SNACK*500GR,$ 9.900,No disponible
ENSALA BABY LEAF 150 G,$ 8.990,No disponible
HOGAO ALIÃ‘OS EN CASA x 200GR,$ 6.900,No disponible
PIÑA EN TROCITOS x 580GR LA CORUÑA,$ 12.010,No disponible
LYCHEE EN ALMIBAR BEST CHOICE *565GR,$ 18.970,No disponible
RAPIPAPA HORNEABLE MCAIN x 600GR,$ 13.160,No disponible
RAPIPAPA FACIL MCCAIN x 1000GR,$ 15.560,No disponible
CEREZAS EN ALMIBAR x 250GR FORTIN,$ 13.740,No disponible
